Name,Color (g-r),g,SpType,T Class,Lum Class,T Letter,Extra Class info,ra,dec,K mag,K mag err,J mag,H mag,T Group,coord hms,IRAC1 mag,IRAC1 err,IRAC1 Flux (mJy),IRAC1 Flux Err (mJy),dg,r,dr,i,di,z,dz
O-0738011+2136,0.4316999999999993,17.5335,G3 IV,G3,IV,G,,114.50478333333332,21.601406111111114,15.612,0.009,16.028,15.693,G3 IV to V,07 38 01.148 +21 36 05.062,15.479084851805512,0.10597518319250904,0.18068321036975815,0.01743760201727443,0.0049,17.1018,0.0046,16.9646,0.0043,16.9274,0.007
O-0738027+2130,0.4305000000000021,17.3943,G2 V,G2,V,G,,114.51148333333333,21.515844444444443,15.517,0.008,15.913,15.587,G2 IV to V,07 38 02.756 +21 30 57.04,15.437861372856254,0.16353166882538842,0.1876753308105934,0.028134285242569133,0.0043,16.9638,0.0026,16.8314,0.0037,16.7835,0.0068
O-0738031+2129,0.378899999999998,17.1389,G1 IV-V,G1,IV-V,G,,114.5132,21.498916666666666,15.409,0.007,15.771,15.46,G1 IV to V,07 38 03.168 +21 29 56.1,15.154987894090773,0.015847342255280637,0.24353230625946662,0.0,0.0041,16.76,0.0025,16.6346,0.0048,16.6187,0.0064
O-0738080+2137,0.41930000000000334,17.3545,G1 IV,G1,IV,G,,114.53372916666666,21.61885638888889,15.514,0.008,15.917,15.588,G1 IV to V,07 38 08.095 +21 37 07.883,15.424375022554282,0.09706848099618427,0.1900210572785147,0.016760591831401526,0.0042,16.9352,0.0029,16.812,0.0039,16.7765,0.0067
O-0738161+2132,0.43900000000000006,17.4739,G2 V,G2,V,G,,114.56711666666665,21.541870000000003,15.586,0.008,15.993,15.651,G2 IV to V,07 38 16.108 +21 32 30.732,15.525018019832746,0.03866996942737792,0.17319866144175622,0.005626913580453349,0.0046,17.0349,0.0029,16.8873,0.0042,16.8715,0.0069
O-0738170+2136,0.42790000000000106,17.4004,G1 V,G1,V,G,,114.57109583333333,21.606065833333336,15.446,0.008,15.882,15.53,G1 IV to V,07 38 17.063 +21 36 21.837,nan,nan,nan,nan,0.0043,16.9725,0.0034,16.8258,0.0039,16.7838,0.0067
O-0738171+2139,0.397199999999998,17.3285,G2 IV-V,G2,IV-V,G,,114.5714,21.651092499999997,15.502,0.008,15.896,15.568,G2 IV to V,07 38 17.136 +21 39 03.933,15.573795205391912,0.03596887776648519,0.16558982876496925,0.004924620412177814,0.004,16.9313,0.0037,16.7992,0.0037,16.7644,0.0066
O-0738224+2136,0.42150000000000176,17.2557,G1 V,G1,V,G,,114.59358333333331,21.615408055555555,nan,nan,nan,nan,G1 IV to V,07 38 22.46 +21 36 55.469,nan,nan,nan,nan,0.0038,16.8342,0.0042,16.7143,0.0045,16.6484,0.0065
O-0738245+2134,0.43230000000000146,17.5085,G3 V,G3,V,G,,114.60211666666666,21.58001888888889,15.555,0.008,16.004,15.642,G3 IV to V,07 38 24.508 +21 34 48.068,14.536118449811188,0.015847342255280637,0.4306300767947256,0.0,0.0061,17.0762,0.008,16.9169,0.0116,16.8753,0.0069
O-0738284+2133,0.3985999999999983,17.2379,G1 V,G1,V,G,,114.61861666666665,21.55805777777778,15.464,0.008,15.837,15.509,G1 IV to V,07 38 28.468 +21 33 29.008,nan,nan,nan,nan,0.0083,16.8393,0.0036,16.7013,0.0063,16.6748,0.0095
O-0738286+2134,0.4045000000000023,17.347,G1 IV-V,G1,IV-V,G,,114.61932499999999,21.574392222222222,15.54,0.008,15.926,15.588,G1 IV to V,07 38 28.638 +21 34 27.812,nan,0.484155922791995,-0.0233739001969916,0.010417400069307263,0.0069,16.9425,0.0077,16.8057,0.0055,16.769,0.0078
O-0738395+2139,0.3890999999999991,17.1814,G1 IV,G1,IV,G,,114.6647625,21.654253055555554,15.4,0.007,15.766,15.457,G1 IV to V,07 38 39.543 +21 39 15.311,15.361387514110534,0.021727611322055303,0.20137091041714278,0.0027568950862676654,0.0048,16.7923,0.005,16.6649,0.0078,16.6603,0.0089
O-0738411+2128,0.4024000000000001,17.2767,G1 IV-V,G1,IV-V,G,,114.67145,21.474433888888885,15.473,0.008,15.853,15.515,G1 IV to V,07 38 41.148 +21 28 27.962,15.555660480032623,0.030840588003047804,0.16837885316184342,0.004103111960872439,0.0041,16.8743,0.0039,16.7464,0.0042,16.7238,0.0066
O-0738500+2128,0.4573999999999998,17.4889,G3 IV,G3,IV,G,,114.70872916666666,21.47321694444444,15.502,0.008,15.915,15.534,G3 IV to V,07 38 50.095 +21 28 23.581,14.581854847955412,0.4430680072255017,0.41286664676508394,0.1683751120859333,0.0042,17.0315,0.0036,16.8737,0.0038,16.8351,0.0068
O-0738508+2137,0.4075000000000024,17.0481,G1 IV-V Fe-0.6,G1,IV-V,G,Fe-0.6,114.71202083333333,21.61768138888889,15.165,0.006,15.575,15.223,G1 IV to V,07 38 50.885 +21 37 03.653,15.085270885710443,0.05013472536355947,0.259682919396778,0.01137625177696789,0.0066,16.6406,0.0032,16.5076,0.0054,16.4502,0.0085
