Name           |  Sp Type  |   Coordinates
G-25-g-r=0.42  | G1 V      |  08h00m13.5073s -10d48m28.9659s
G-31-g-r=0.42  | G2 IV     |  08h00m14.2126s -10d47m29.4676s
G-33-g-r=0.44  | G3 V      |  08h00m12.0017s -10d47m05.3198s
G-21-g-r=0.41  | G2 IV-V   |  08h00m09.1226s -10d47m04.2383s
G-22-g-r=0.42  | G2 V      |  08h00m03.0715s -10d48m13.6209s
G-34-g-r=0.44  | G2 V      |  08h00m08.1455s -10d46m23.5241s
G-52-g-r=0.44  | G3 V      |  08h00m05.6251s -10d45m58.1865s
G-60-g-r=0.42  | G1 V      |  07h59m55.3242s -10d49m04.1757s
G-26-g-r=0.45  | G2 V      |  08h00m04.4594s -10d47m12.6369s
G-30-g-r=0.43  | G1 V      |  08h00m08.0999s -10d47m07.9700s
G-23-g-r=0.44  | G2 V      |  08h00m02.9428s -10d44m51.5837s
G-35-g-r=0.43  | G3 IV-V   |  08h00m09.2061s -10d44m31.4184s
G-55-g-r=0.46  | G2 V      |  08h00m09.8749s -10d43m09.5605s
G-25-g-r=0.42  | G1 V      |  08h00m13.5073s -10d48m28.9659s
