Source,RA,Dec,SpType 2019-02-21,g mag,J mag,H mag,K mag
G-25-g-r=0.42,08 00 13.5073,-10 48 28.9659,G1 V,18.16,16.659,16.294,16.235
G-31-g-r=0.42,08 00 14.2126,-10 47 29.4676,G2 IV,18.16,16.67,16.309,16.254
G-33-g-r=0.44,08 00 12.0017,-10 47 05.3198,G3 V,18.36,16.777,16.405,16.337
G-21-g-r=0.41,08 00 09.1226,-10 47 04.2383,G2 IV-V,18.1427,16.647,16.302,16.237
G-22-g-r=0.42,08 00 03.0715,-10 48 13.6209,G2 V,18.2118,16.652,16.272,16.18
G-34-g-r=0.44,08 00 08.1455,-10 46 23.5241,G2 V,18.2697,16.785,16.414,16.332
G-52-g-r=0.44,08 00 05.6251,-10 45 58.1865,G3 V,18.2831,16.762,16.395,16.338
G-60-g-r=0.42,07 59 55.3242,-10 49 04.1757,G1 V,18.0573,16.592,16.239,16.159
G-26-g-r=0.45,08 00 04.4594,-10 47 12.6369,G2 V,18.2707,16.758,16.395,16.325
G-30-g-r=0.43,08 00 08.0999,-10 47 07.9700,G1 V,18.2952,16.744,16.399,16.314
G-23-g-r=0.44,08 00 02.9428,-10 44 51.5837,G2 V,18.3168,16.76,16.399,16.317
G-35-g-r=0.43,08 00 09.2061,-10 44 31.4184,G3 IV-V,18.2816,16.72,16.348,16.275
G-55-g-r=0.46,08 00 09.8749,-10 43 09.5605,G2 V,18.3093,16.767,16.391,16.326
