Source,RA,Dec,SpType 2019-02-21,SpType 2019-04-20,Solar Analog,gmag
G-25-g-r=0.42,08 00 13.5073,-10 48 28.9659 ,G1 V,G0 V,?,18.16
G-31-g-r=0.42,08 00 14.2126 ,-10 47 29.4676,G2 IV,G1 V,Y,18.16
G-33-g-r=0.44,08 00 12.0017,-10 47 05.3198  ,G3 V,G2 V,Y,18.36
G-21-g-r=0.41,08 00 09.1226 ,-10 47 04.2383,G2 IV-V,G0 V,?,18.1427
G-22-g-r=0.42,08 00 03.0715,-10 48 13.6209 ,G2 V,G2 V ,Y,18.2118
G-34-g-r=0.44,08 00 08.1455,-10 46 23.5241 ,G2 V,G2 V,Y,18.2697
G-52-g-r=0.44,08 00 05.6251 ,-10 45 58.1865 ,G3 V,G1 V,Y,18.2831
G-72-g-r=0.44,07 59 51.8009,-10 47 11.2551 ,Cannot classify,G2 V,Y,18.3524
G-71-g-r=0.42,07 59 59.3536,-10 44 42.7098 ,G1 V,G2 V ,Y,18.113
G-67-g-r=0.42,07 59 55.3641,-10 45 19.7003 ,G2 V,G3 V,Y,18.2073
G-85-g-r=0.43,07 59 51.1617 ,-10 45 15.6334 ,G3 V,G2 V,Y,18.2544
G-69-g-r=0.45,07 59 53.4236 ,-10 44 18.3076,G2 V,G2 V,Y,18.1985
G-36-g-r=0.47,08 00 07.2185,-10 49 43.0263,G4 IV-V,G5 V,Y,18.4177
G-70-g-r=0.44,07 59 51.0596,-10 48 14.4689,??,G2 V,Y,18.2526
G-82-g-r=0.42,07 59 53.1934,-10 48 02.2438,Cannot Classify,G1 V,Y,18.1785
G-26-g-r=0.45,08 00 04.4594,-10 47 12.6369,G2 V,G2 V,Y,18.2707
G-30-g-r=0.43,08 00 08.0999,-10 47 07.9700,G1 V,G3 V,Y,18.2952
G-23-g-r=0.44,08 00 02.9428,-10 44 51.5837,G2 V,G2 V,Y,18.3168
G-35-g-r=0.43,08 00 09.2061,-10 44 31.4184,G3 IV-V,G2 V,Y,18.2816
G-41-g-r=0.46,08 00 13.3190,-10 43 46.3997,Cannot Classify,G3 V,Y,18.4697
G-46-g-r=0.43,08 00 12.8514,-10 42 24.6860,Cannot Classify,G2 V,Y,18.0896
G-55-g-r=0.46,08 00 09.8749,-10 43 09.5605,G2 V,G1 V,Y,18.3093
