Source,RA,Dec,SpType 2019-02-21,SpType 2019-04-20,Solar Analog,gmag,J mag,H mag,K mag,RA (deg),Dec (deg)
G-25-g-r=0.42,08 00 13.5073,-10 48 28.9659,G1 V,G0 V,?,18.16,16.659,16.294,16.235,120.05628041666664,-10.808046083333334
G-31-g-r=0.42,08 00 14.2126,-10 47 29.4676,G2 IV,G1 V,Y,18.16,16.67,16.309,16.254,120.05921916666665,-10.791518777777778
G-33-g-r=0.44,08 00 12.0017,-10 47 05.3198,G3 V,G2 V,Y,18.36,16.777,16.405,16.337,120.05000708333333,-10.784811055555556
G-21-g-r=0.41,08 00 09.1226,-10 47 04.2383,G2 IV-V,G0 V,?,18.1427,16.647,16.302,16.237,120.03801083333332,-10.78451063888889
G-22-g-r=0.42,08 00 03.0715,-10 48 13.6209,G2 V,G2 V,Y,18.2118,16.652,16.272,16.18,120.01279791666664,-10.803783583333335
G-34-g-r=0.44,08 00 08.1455,-10 46 23.5241,G2 V,G2 V,Y,18.2697,16.785,16.414,16.332,120.03393958333331,-10.77320113888889
G-52-g-r=0.44,08 00 05.6251,-10 45 58.1865,G3 V,G1 V,Y,18.2831,16.762,16.395,16.338,120.02343791666667,-10.766162916666667
G-72-g-r=0.44,07 59 51.8009,-10 47 11.2551,Cannot classify,G2 V,Y,18.3524,16.804,16.447,16.355,119.96583708333333,-10.78645975
G-71-g-r=0.42,07 59 59.3536,-10 44 42.7098,G1 V,G2 V,Y,18.113,16.631,16.289,16.217,119.99730666666666,-10.745197166666665
G-67-g-r=0.42,07 59 55.3641,-10 45 19.7003,G2 V,G3 V,Y,18.2073,16.708,16.355,16.266,119.98068374999998,-10.755472305555555
G-85-g-r=0.43,07 59 51.1617,-10 45 15.6334,G3 V,G2 V,Y,18.2544,16.687,16.328,16.237,119.96317374999998,-10.754342611111111
G-69-g-r=0.45,07 59 53.4236,-10 44 18.3076,G2 V,G2 V,Y,18.1985,16.655,16.318,16.241,119.97259833333332,-10.738418777777778
G-36-g-r=0.47,08 00 07.2185,-10 49 43.0263,G4 IV-V,G5 V,Y,18.4177,16.822,16.432,16.364,120.03007708333331,-10.828618416666666
G-70-g-r=0.44,07 59 51.0596,-10 48 14.4689,??,G2 V,Y,18.2526,16.738,16.391,16.299,119.96274833333332,-10.80401913888889
G-82-g-r=0.42,07 59 53.1934,-10 48 02.2438,Cannot Classify,G1 V,Y,18.1785,16.689,16.339,16.264,119.97163916666666,-10.80062327777778
G-26-g-r=0.45,08 00 04.4594,-10 47 12.6369,G2 V,G2 V,Y,18.2707,16.758,16.395,16.325,120.01858083333332,-10.786843583333333
G-30-g-r=0.43,08 00 08.0999,-10 47 07.9700,G1 V,G3 V,Y,18.2952,16.744,16.399,16.314,120.03374958333332,-10.785547222222222
G-23-g-r=0.44,08 00 02.9428,-10 44 51.5837,G2 V,G2 V,Y,18.3168,16.76,16.399,16.317,120.01226166666666,-10.747662138888888
G-35-g-r=0.43,08 00 09.2061,-10 44 31.4184,G3 IV-V,G2 V,Y,18.2816,16.72,16.348,16.275,120.03835875,-10.742060666666665
G-41-g-r=0.46,08 00 13.3190,-10 43 46.3997,Cannot Classify,G3 V,Y,18.4697,16.856,16.473,16.398,120.05549583333332,-10.729555472222222
G-46-g-r=0.43,08 00 12.8514,-10 42 24.6860,Cannot Classify,G2 V,Y,18.0896,16.608,16.265,16.191,120.0535475,-10.706857222222222
G-55-g-r=0.46,08 00 09.8749,-10 43 09.5605,G2 V,G1 V,Y,18.3093,16.767,16.391,16.326,120.04114541666664,-10.71932236111111
